# Constructed from biom file
#OTU ID	ERR475473_CRC_control	ERR3928970_CRC_case
JQ186757.1.1359	0	32257
JQ449887.1.1241	0	23008
HQ739676.1.1212	6959	15276
CVOZ01000362.1.1219	187	17634
ET201884.1.1313	12716	22
FJ432378.1.1202	7058	55
DQ797836.1.1210	6481	0
GQ156468.1.1358	0	5558
AY850490.1.1239	1039	3876
HL282960.1.1327	0	4269
ET778820.1.1349	4253	0
HQ759687.1.1240	653	3510
AY850461.1.1228	4099	19
AJ812137.1.1354	4099	0
KY780347.1.1200	48	3699
HK557112.1.1272	0	3730
GQ014215.1.1357	0	3715
JQ467788.1.1220	0	3654
KJ574409.1.1223	3556	0
AY983363.1.1360	0	3399
LC099978.1.1200	0	2996
GQ492155.1.1200	0	2992
KF101798.1.1358	0	2923
KF100359.1.1360	0	2383
FJ362920.1.1206	2291	53
GQ492382.1.1289	0	2289
JQ467804.1.1375	0	2277
GQ492274.1.1222	2248	0
DQ809069.1.1219	2126	118
FJ557734.1.1287	0	2239
FJ364454.1.1206	2206	0
GQ014254.1.1331	0	2186
FJ370321.1.1203	1811	138
DQ806128.1.1290	0	1944
KF090344.1.1361	0	1528
FJ366193.1.1359	0	1501
GQ358380.1.1239	1476	11
FJ557701.1.1386	0	1361
FJ510866.1.1354	1267	0
FJ371815.1.1309	1208	16
ET778828.1.1398	1176	0
ET458687.1.1347	0	1175
FJ363372.1.1220	941	87
KC000059.1.1295	0	878
KF842080.1.1260	760	99
FJ371750.1.1233	768	0
KF843403.1.1350	755	0
DQ809079.1.1285	702	15
DQ798280.1.1322	712	0
HK240436.1.1267	0	661
FJ509926.1.1367	20	617
ET765776.1.1276	633	0
DQ797791.1.1354	37	585
DQ809255.1.1206	618	0
JN698650.1.1277	0	608
DQ824361.1.1287	601	0
ET475866.1.1292	475	120
DQ795255.1.1218	564	9
DQ824266.1.1288	519	18
DQ806395.1.1243	502	27
ET778863.1.1253	396	110
CZBP01000074.1.1200	372	125
ET767275.1.1355	179	310
DQ793806.1.1289	475	0
DQ795865.1.1286	463	0
DQ796280.1.1284	441	20
GQ493973.1.1202	0	439
DQ808652.1.1281	436	0
FJ362793.1.1323	425	0
DQ823787.1.1236	395	26
DQ809428.1.1286	420	0
GQ493585.1.1250	0	412
ET764936.1.1278	400	5
FJ362935.1.1246	374	22
ET776952.1.1270	350	41
ET768267.1.1370	0	367
HQ802530.1.1345	0	365
GQ492847.1.1200	361	0
DQ803441.1.1240	308	31
DQ794369.1.1366	0	330
JQ185300.1.1354	0	319
KF842498.1.1414	312	0
AY653233.1.1341	0	303
FJ365255.1.1357	302	0
FJ371179.1.1259	281	18
LC342993.1.1200	195	102
EF071211.1.1211	52	234
DQ808123.1.1242	0	280
DQ807031.1.1284	264	0
DQ796556.1.1382	251	0
GQ491160.1.1334	0	251
DQ799541.1.1239	0	250
HQ780971.1.1455	0	250
KF842078.1.1234	47	203
ET771897.1.1262	248	0
AY169416.1.1303	0	246
ET530263.1.1489	0	239
FJ364810.1.1203	198	38
HK693740.1.1297	233	0
DQ808899.1.1291	229	0
ET763235.1.1354	14	214
ET762783.1.1342	221	0
FJ032483.1.1208	221	0
EF071257.1.1224	165	49
FJ365559.1.1250	186	25
ACBX02000025.1.1217	23	184
AY947496.1.1209	0	203
JF120145.1.1346	0	196
FJ382054.1.1201	120	65
DQ796116.1.1201	0	184
ET774350.1.1258	49	134
FJ369698.1.1204	162	21
KJ412982.1.1209	17	165
AF499899.1.1248	181	0
DQ796216.1.1275	148	33
DQ809059.1.1206	176	0
ET467714.1.1256	0	175
DQ807376.1.1287	174	0
DQ796136.1.1225	133	40
DQ802353.1.1286	173	0
CZBO01000021.123.1404	0	168
AF153858.1.1349	152	13
ET777398.1.1280	0	163
DQ802678.1.1231	142	19
ET774369.1.1254	154	0
DQ794179.1.1290	150	0
DQ794509.1.1219	102	47
FJ364418.1.1204	147	0
FJ369668.1.1239	128	17
GQ487459.1.1311	0	145
DQ794978.1.1285	123	19
DQ801623.1.1261	0	142
AY653235.1.1324	31	101
DQ808753.1.1287	115	16
FJ369709.1.1241	0	125
DQ808930.1.1287	122	0
FJ371471.1.1242	67	54
FJ505988.1.1383	0	120
JX048127.1.1383	0	120
GQ492256.1.1249	117	0
HQ742589.1.1206	0	117
JQ465376.1.1220	90	27
DQ809022.1.1286	108	8
ET761920.1.1356	0	115
GQ327248.1.1335	0	115
DQ809097.1.1288	114	0
GQ448195.1.1391	112	0
JQ190854.1.1350	112	0
FJ371873.1.1224	0	111
DQ801326.1.1393	110	0
HQ807131.1.1274	0	109
DQ806834.1.1287	107	0
GQ338715.1.1269	107	0
FJ366505.1.1299	39	67
DQ808965.1.1273	105	0
GQ156431.1.1327	0	97
JF057160.1.1343	0	97
FLKP01000001.3519.5034	0	96
GQ006526.1.1346	0	94
DQ905725.1.1572	92	0
ET772388.1.1232	73	19
FJ753830.1.1232	62	29
FJ363658.1.1358	88	0
DQ807506.1.1286	86	0
DQ798603.1.1202	82	0
GQ492980.1.1322	82	0
FJ367316.1.1275	78	0
HL281785.3.1301	76	0
JF747611.1.1274	0	76
GQ493213.1.1204	14	56
ET458691.1.1268	0	69
GQ491279.1.1262	69	0
GT432132.1.1203	68	0
GQ897566.1.1496	67	0
JF220832.1.1358	0	65
DQ804326.1.1231	64	0
ET777439.1.1288	0	64
KT324908.1.1207	34	30
JF101079.1.1256	0	63
GQ493144.1.1354	62	0
ET764805.1.1340	61	0
FJ363028.1.1361	38	23
FJ371776.1.1255	0	60
DQ801618.1.1247	58	0
JX198600.1.1482	0	58
DQ795727.1.1297	0	57
GQ493692.1.1234	35	19
DQ823971.1.1252	12	41
GFJP01006665.2.1440	46	6
DQ800564.1.1381	43	6
ET469054.1.1253	49	0
ET766108.1.1338	49	0
ET461215.1.1290	48	0
DQ796195.1.1288	0	47
FJ372092.1.1328	47	0
FJ833115.1.1204	47	0
FJ364902.1.1337	46	0
FJ366493.1.1298	0	46
DQ808901.1.1290	0	45
AY985784.1.1352	23	21
ET774344.1.1258	44	0
KP330262.1.1200	44	0
DQ794427.1.1242	40	3
DQ797315.1.1283	43	0
ET778074.1.1388	43	0
DQ809023.1.1214	0	41
ET459837.1.1288	41	0
KF842934.1.1385	41	0
DQ803417.1.1293	0	40
HL282348.1.1319	0	40
JQ191036.1.1354	0	38
DQ800835.1.1249	37	0
KF843440.1.1336	23	14
ET462407.1.1376	36	0
ET473498.1.1210	36	0
ET462209.1.1302	0	35
ABIY02000114.1.1263	12	22
DQ803197.1.1340	34	0
DQ824178.1.1289	7	27
GT413690.1.1212	34	0
KF099033.1.1342	0	34
ET462408.1.1305	0	33
ET467430.1.1257	23	10
FJ365274.1.1376	0	33
HK241424.1.1320	0	33
AM275737.1.1459	0	32
DQ809399.1.1289	32	0
ET774195.1.1268	32	0
HQ808998.1.1217	0	32
ET472558.1.1391	0	31
AY850453.1.1227	30	0
AY985779.1.1355	20	10
DQ806009.1.1283	30	0
KX787582.1.959	30	0
DQ806519.1.1402	0	29
DQ823722.1.1211	0	29
ET765003.1.1353	0	29
FJ372060.1.1359	29	0
AY974070.1.1396	28	0
HK240553.1.1243	0	28
FJ367633.1.1229	0	27
JQ191045.1.1353	0	27
KF101960.1.1354	0	27
DQ799787.1.1286	0	26
JQ467247.1.1401	0	26
DQ809027.1.1290	0	25
HK240383.1.1304	0	25
ET467363.1.1378	24	0
ET767258.1.1353	24	0
ET777512.1.1293	24	0
FJ365277.1.1341	0	24
JQ085668.1.1200	24	0
AB639144.1.1469	0	22
EF071237.1.1250	11	11
EF402847.1.1496	21	0
ET772576.1.1202	0	21
JQ245025.1.1025	0	21
AM275764.1.1498	20	0
ET771439.1.1287	20	0
GBHJ01003687.151.1360	20	0
GQ493950.1.1215	0	20
AY850429.1.1250	0	19
DQ807042.1.1378	19	0
ET767533.1.1322	0	19
JN639385.1.1262	0	19
JQ187213.1.1363	0	19
MF461119.1.1200	0	19
ABQC02000019.758957.760260	0	18
AF132280.1.1277	0	18
DQ797024.1.1383	18	0
DQ801609.1.1306	18	0
FJ363080.1.1346	0	18
JQ207644.1.1336	0	18
DQ807607.1.1301	17	0
ET468499.1.1202	17	0
GQ491134.1.1351	17	0
KF697532.1.1227	0	17
DQ794370.1.1390	0	16
ET468444.1.1302	16	0
ET705724.1.1206	0	16
FJ369961.1.1358	0	16
FMFI01000017.70610.72117	16	0
GQ492544.1.1300	0	16
ET772491.1.1390	0	15
DQ806278.1.1302	14	0
ET196771.1.1211	0	14
ET461213.1.1290	14	0
FJ032592.1.1245	14	0
FJ363382.1.1367	0	14
FJ371591.1.1208	0	14
KF843400.1.1328	0	14
